"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Filter\FilterCheckbox.jsx", "JavaScript", 0, 79, 0, 0, 0, 0, 14, 93
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Filter\FilterPrice.jsx", "JavaScript", 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Filter\FilterProducers.jsx", "JavaScript", 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Filter\FilterSection.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Filter\Index.jsx", "JavaScript", 0, 42, 0, 0, 0, 0, 11, 53
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Filter\SubmitFilters.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Aside\Index.jsx", "JavaScript", 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\CategoryList\CategoryDetails.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\CategoryList\CategoryElement.jsx", "JavaScript", 0, 41, 0, 0, 0, 0, 7, 48
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\CategoryList\Index.jsx", "JavaScript", 0, 94, 0, 0, 0, 0, 12, 106
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\Cart\CartList\CartProduct\CartActionBtn.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\Cart\CartList\CartProduct\CartSelectQuantity.jsx", "JavaScript", 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\Cart\CartList\CartProduct\Index.jsx", "JavaScript", 0, 76, 0, 0, 0, 0, 15, 91
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\Cart\CartList\Index.jsx", "JavaScript", 0, 48, 0, 0, 0, 0, 8, 56
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\Cart\TopSide\Index.jsx", "JavaScript", 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\Index.jsx", "JavaScript", 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\LeftSideInfo\CustomButton.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\LeftSideInfo\Index.jsx", "JavaScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\LeftSideInfo\InfoSide.jsx", "JavaScript", 0, 46, 0, 0, 0, 0, 7, 53
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\LeftSideInfo\ProductImg.jsx", "JavaScript", 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\MoreInfo\Index.jsx", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\MoreInfo\InfoContent.jsx", "JavaScript", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\MoreInfo\InfoNavbar.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\RightSideInfo\Delivery.jsx", "JavaScript", 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductDetails\RightSideInfo\Index.jsx", "JavaScript", 0, 46, 0, 0, 0, 0, 6, 52
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductList\Index.jsx", "JavaScript", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductList\Product\Index.jsx", "JavaScript", 0, 81, 0, 0, 0, 0, 14, 95
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\ProductList\Product\ProductInfo.jsx", "JavaScript", 0, 60, 0, 0, 0, 0, 15, 75
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\SortOptions\SortBtn.jsx", "JavaScript", 0, 41, 0, 0, 0, 0, 7, 48
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Main\SortOptions\index.jsx", "JavaScript", 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Navbar\Index.jsx", "JavaScript", 0, 66, 0, 0, 0, 0, 12, 78
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Navbar\NavIcon.jsx", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Navbar\SearchBar.jsx", "JavaScript", 0, 54, 0, 0, 0, 0, 12, 66
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\components\Navbar\SearchedProducts\Index.jsx", "JavaScript", 0, 67, 0, 0, 0, 0, 15, 82
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\lib\api\getProductInfo.js", "JavaScript", 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\lib\api\getProductList.js", "JavaScript", 0, 19, 0, 0, 0, 0, 10, 29
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\lib\components\ActionBtn.jsx", "JavaScript", 0, 39, 0, 0, 0, 0, 7, 46
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\lib\components\Availability.jsx", "JavaScript", 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\lib\components\Price.jsx", "JavaScript", 0, 36, 0, 0, 0, 0, 6, 42
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\lib\mongodb.js", "JavaScript", 0, 19, 0, 0, 0, 5, 6, 30
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\package-lock.json", "JSON", 2250, 0, 0, 0, 0, 0, 1, 2251
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\package.json", "JSON", 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\AddProduct.js", "JavaScript", 0, 77, 0, 0, 0, 0, 17, 94
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\[category].js", "JavaScript", 0, 61, 0, 0, 0, 0, 7, 68
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\_app.css", "CSS", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\_app.js", "JavaScript", 0, 76, 0, 0, 0, 1, 16, 93
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\_document.js", "JavaScript", 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\api\[productId].js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\api\admin\addProduct.js", "JavaScript", 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\api\admin\removeProduct.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\api\getProductList.js", "JavaScript", 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\cart\index.js", "JavaScript", 0, 33, 0, 0, 0, 0, 10, 43
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\pages\produkt\[productId].js", "JavaScript", 0, 42, 0, 0, 0, 0, 10, 52
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\redux\cart.js", "JavaScript", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\redux\searchQuery.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\filip\OneDrive\Pulpit\prgramieren\bmd\redux\store.js", "JavaScript", 0, 22, 0, 0, 0, 0, 8, 30
"Total", "-", 2277, 1906, 4, 4, 4, 6, 400, 4601